tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.7,0.21,0.19,17.767721472061908,50.9385189026858,0.757297030776403,53.94835154393551,8.707757958243779,35.20356724082181,0.7185958135064612,36.2645308137086,45.10644117882205,False,False,True
0.7,0.21,0.21,17.659243284117924,51.12252123039801,0.7555404595267567,54.08660694035224,8.50834751541161,35.52635348019952,0.7134116893919165,36.53099737268469,45.30880215651847,False,False,True
0.72,0.09,0.11,16.24984855929378,49.27876936419623,0.7728555287232249,51.88886863528272,7.2948368648837025,35.252746521756336,0.7178090226594526,35.99959419510822,43.944231415195475,False,False,True
0.72,0.09,0.13,15.759980436338793,49.525910857908116,0.7705714785103828,51.973000968380134,6.970196323387801,35.5528095230151,0.7129846928115382,36.229627403084926,44.101314185732534,False,False,True
0.72,0.09,0.15,16.138561069828157,49.65559613817855,0.7693683726260718,52.2123680869051,7.01654983944494,36.215397498543965,0.7021869531132678,36.88884638514681,44.550607236025954,False,False,True
0.72,0.09,0.17,16.223163639673384,49.47932094981558,0.7710029304858494,52.071049923488964,7.028677783158301,35.45695411049834,0.7145302743254618,36.146893451214424,44.1089716873517,False,False,True
0.72,0.09,0.19,16.0237345055673,49.369998859293176,0.7720137277931531,51.90526808399623,6.388390080790813,35.2600661299587,0.7176918265807763,35.83411490902778,43.869691496512004,False,False,True
0.72,0.09,0.21,15.688408085322084,49.40604577852848,0.771680683306923,51.837086219439946,6.022158936477168,35.721491200572075,0.7102547214968349,36.225561856908996,44.031324038174475,False,False,True
0.72,0.11,0.11,16.009681562294343,49.88045284773261,0.767274893128553,52.386729999313225,7.0969756139188265,35.77053318057713,0.7094585936812073,36.467768054644196,44.427249026978714,False,False,True
0.72,0.11,0.13,15.626554118080232,48.9356946204666,0.7760072417119864,51.370141148266804,6.924080788694649,34.72909536327305,0.7261301974461035,35.41261017659789,43.391375662432345,False,False,True
0.72,0.11,0.15,16.201681981245628,49.46203518820303,0.7711629042785221,52.04793390693289,7.099890664839857,34.78954202029818,0.7251760164876944,35.50662869711475,43.77728130202382,False,False,True
0.72,0.11,0.17,15.865991833796189,49.60968740996811,0.7697946331480954,52.08503414403062,6.758949052411949,35.62006258793012,0.7118978073489179,36.255651298261895,44.170342721146255,False,False,True
