tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.72,0.09,0.15,16.513060250121985,49.6379593451467,0.7695321761134749,52.31260045891998,7.919731258115068,36.00457135795015,0.7056442682095201,36.8653129902689,44.58895672459444,False,False,True
0.72,0.09,0.17,16.333786008249803,49.42621994940225,0.7714941841341723,52.055199393048014,7.08688745042987,34.816798181716116,0.7247452214426128,35.53073893632682,43.79296916468742,False,False,True
0.72,0.09,0.19,16.367002702545093,49.59725218679949,0.7699100257854042,52.22802123330066,7.082250998372418,35.25177049692339,0.7178246481987884,35.956162230856975,44.09209173207881,False,False,True
0.72,0.09,0.21,16.436964687626794,49.59155155808677,0.7699629150917985,52.244576695391736,7.255398540121716,34.95021265386537,0.7226316824455365,35.69535225384968,43.96996447462071,False,False,True
0.72,0.11,0.11,16.25612432727587,49.34759942587369,0.7722205580528192,51.95620412655585,7.852722384778113,35.30327635573522,0.7169994810594333,36.16609697357193,44.06115055006389,False,False,True
0.72,0.11,0.13,16.196787332607602,49.149119711517194,0.7740491649522538,51.749124517374845,7.684672944277785,35.06107055439549,0.7208693335351615,35.89335407398999,43.82123929568242,False,False,True
0.72,0.11,0.15,16.21312508881145,49.49236707548905,0.7708821560553174,52.08032088880021,7.2633453199751274,34.88400632993673,0.7236815269086717,35.63214956839217,43.85623522859619,False,False,True
0.72,0.11,0.17,16.458442297084467,49.84769105544833,0.7675805033333009,52.49450091586625,7.7250501485461935,35.3057018112318,0.7169605935218308,36.14095986801084,44.31773039193854,False,False,True
0.72,0.11,0.19,15.822625767866333,49.12969033142066,0.7742277731124838,51.61474555058115,6.999742290669932,35.11859668938415,0.7199526198646251,35.80938739447265,43.7120664725269,False,False,True
0.72,0.11,0.21,16.092398981587706,49.16526666403775,0.7739006773808015,51.73189297839919,7.215547355265851,34.88957299596358,0.7235933320281716,35.627888338726386,43.67989065856278,False,False,True
0.72,0.13,0.11,15.837026784194903,49.226748126898784,0.773334846677921,51.711547535462906,7.656710759268829,35.89594902292128,0.7074176750332071,36.703465448200745,44.20750649183182,False,False,True
