tau,rho_floor,rho_hall,nmbe_jun,cvrmse_jun,nmae_jun,r2_jun,gof_jun,nmbe_nov,cvrmse_nov,nmae_nov,r2_nov,gof_nov,gof_combined,meets_ashrae_jun,meets_ashrae_nov,success
0.72,0.13,0.19,16.02507867862453,49.214695081267294,25.841021176846134,0.7734458298761888,30.406603265052755,7.187643605969141,35.29023932478056,22.982691999902155,0.7172084591298689,24.080414285655376,27.243508775354066,False,False,True
0.72,0.13,0.21,15.845828159900547,49.11113346920069,25.839769610979076,0.7743982945566056,30.311449381736516,6.631793328803637,34.86230489256639,22.558111292567336,0.724025216951564,23.51274266953599,26.912096025636252,False,False,True
0.72,0.15,0.11,16.19167218376901,48.92880371398306,25.772832684979598,0.7760703205948755,30.436970163184636,7.714329939356666,35.25432714528264,22.999117135537546,0.7177837169603978,24.25840628374897,27.347688223466804,False,False,True
0.72,0.15,0.13,16.063031631491302,49.415435409805355,25.93061249476899,0.7715938907744926,30.5027482294327,6.864118458681161,35.655335494738246,23.19425145185701,0.7113269361805922,24.188621759554188,27.345684994493446,False,False,True
0.72,0.15,0.15,15.943267316098437,49.17943197372112,25.885289235198478,0.7737703728578746,30.401249505611688,6.993897469491785,34.97257817981734,22.924011964172703,0.7222765788442744,23.967163502327445,27.184206503969566,False,False,True
0.72,0.15,0.17,15.980399457624312,49.64235143703388,25.994181884113754,0.7694913895599784,30.51345045467043,6.981120911810133,35.36773428974514,23.0247320242303,0.7159651135017764,24.059807438400853,27.286628946535643,False,False,True
0.72,0.15,0.19,16.005152191895533,49.15243204764972,25.718176662398406,0.774018708645446,30.29173992236287,6.9171286967616155,34.64313617817964,22.662789941829562,0.7274842488809647,23.69490910206355,26.99332451221321,False,False,True
0.72,0.15,0.21,16.295332857899652,49.9943656181469,26.257626223861575,0.7662107234501613,30.903087351618563,7.13770632708941,35.8761964452563,23.30393081780377,0.7077395868461032,24.372526401109027,27.637806876363797,False,False,True
0.72,0.17,0.11,16.324143028290298,49.612956991721205,26.228383624912233,0.769764288265506,30.893458096879392,7.762814422545805,35.58720706718187,22.91777393841062,0.7124290462819546,24.1968107413142,27.545134419096797,False,False,True
0.72,0.17,0.13,15.832346620635684,49.03628930680654,25.769234604833542,0.775085393523632,30.244282957856758,7.486150278118277,34.76056036856197,22.86024301883854,0.7256337135386222,24.054794883077395,27.149538920467077,False,False,True
0.72,0.17,0.15,16.026272303612014,49.04047242774027,25.797162341217422,0.7750470184694787,30.369968534864306,7.869108289649265,35.14704202327811,23.066885753728485,0.719498771012489,24.372198990854084,27.371083762859193,False,False,True
0.72,0.17,0.17,15.980960003483,49.1030135911095,25.74854148355711,0.7744728889216371,30.304759876352506,6.769508583032813,35.231375922202105,22.7650468486288,0.718151053455039,23.75023377729194,27.027496826822222,False,False,True
0.72,0.17,0.19,15.787773929964919,49.415274057115255,25.84671701329299,0.7715953823683512,30.28706961772514,6.702439221473938,35.4832557950631,22.807338416958505,0.7141065989321759,23.77177690420351,27.029423260964325,False,False,True
0.72,0.17,0.21,15.65992330489148,49.429534365529754,25.916719428385626,0.7714635368884112,30.28051425991217,6.660219933519153,35.713424697771856,22.951468927848047,0.7103855652622633,23.898293987413,27.089404123662582,False,False,True
0.72,0.19,0.11,15.898386277860387,49.443797692335586,25.77632019939201,0.7713316254468652,30.284936342373975,7.234744562108504,35.28153110357067,22.773719645508855,0.7173480052199068,23.895268053972412,27.09010219817319,False,False,True
0.72,0.19,0.13,16.008249897297063,49.37302778233437,26.03025600180907,0.7719857523395521,30.558767846463127,7.468875371489118,34.875966726855474,22.762276285888415,0.723808876665279,23.95632110800727,27.2575444772352,False,False,True
0.72,0.19,0.15,15.81539543596691,48.90867894597537,25.6464653911003,0.7762544904793369,30.13084665011769,7.202858020202408,34.89543555154787,22.73343257691223,0.723500434038362,23.847224584597015,26.989035617357352,False,False,True
0.72,0.19,0.17,15.9781123773787,49.45680443650463,25.85609258577413,0.7712113020741238,30.394696888573613,7.432051252947527,35.09168352907295,23.123562777958274,0.7203816843927862,24.288568121085614,27.34163250482961,False,False,True
0.72,0.19,0.19,15.964062465633045,49.40106027720009,26.039951741377294,0.7717267598065588,30.543909001630624,6.664996832038131,34.89855284484044,22.60887009460408,0.723451031087638,23.570812241536373,27.0573606215835,False,False,True
0.72,0.19,0.21,15.635154932750739,49.44526665009094,26.03527971012521,0.771318037931841,30.369291387116316,5.896997286490314,34.862221620625306,22.532815512723694,0.7240265353341839,23.291679886330993,26.830485636723655,False,False,True
0.72,0.21,0.11,15.579936143120213,48.801024156604875,25.715190325832022,0.7772383962604938,30.06668295169037,7.075906547530916,35.23566351607906,23.003035470775067,0.7180824482802989,24.066742495384098,27.066712723537236,False,False,True
0.72,0.21,0.13,15.505998483621362,49.082946718267486,25.622407484334452,0.7746571830734108,29.949019253847798,6.900222030352545,34.61549724331906,22.489681528546825,0.7279189116350806,23.524430690744097,26.736724972295946,False,False,True
0.72,0.21,0.15,15.526987336174528,49.21583744394622,25.864155767397495,0.7734353122845643,30.166900558359078,7.018010479615448,35.609000715746305,23.053679211773648,0.7120767208343592,24.09822807368535,27.13256431602221,False,False,True
