tau,rho_floor,rho_hall,nmbe_jun,nmbe_nov,nmbe_combined,cvrmse_jun,cvrmse_nov,cvrmse_combined,r2_jun,r2_nov,r2_combined,gof,meets_ashrae,success
0.58,0.09,0.25,26.637145534690514,14.625758867962228,20.631452201326372,59.78954095008196,57.751646609629084,58.77059377985552,0.665625691533529,0.2426686242732511,0.45414715790339005,62.28675230875669,False,True
0.58,0.09,0.27,26.795415226450025,14.807886916314247,20.801651071382135,59.641431372676024,57.26614121315985,58.45378629291794,0.6672802517361357,0.2553485374276092,0.46131439458187246,62.04477269902481,False,True
0.58,0.09,0.29,26.88281493643633,14.863247624312715,20.873031280374523,60.00396887515741,58.35411422615834,59.17904155065787,0.6632230051025111,0.22678517999522696,0.445004092548869,62.752230188942164,False,True
0.58,0.09,0.31,26.75438952944474,14.326605318079444,20.54049742376209,59.81730896886515,57.07151080829592,58.44440988858054,0.6653150329125239,0.26040162893103547,0.4628583309217797,61.94885859836312,False,True
0.58,0.09,0.33,26.4619358166703,13.965696581270246,20.213816198970274,59.65216551562907,57.81659230406328,58.73437890984617,0.6671604765177641,0.24096432418173552,0.4540624003497498,62.11542184716397,False,True
0.58,0.09,0.35,26.520500849912914,13.667456552486154,20.093978701199532,59.62020739386671,57.839650162107645,58.729928777987176,0.6675170126671959,0.24035878082114237,0.4539378967441691,62.07231681121389,False,True
0.58,0.11,0.11,26.947896313590448,15.93161693379607,21.43975662369326,59.717283621502524,57.271893324830515,58.494588473166516,0.666433404530612,0.2551989365151963,0.46081617052290413,62.299920102102085,False,True
0.58,0.11,0.13,26.898675911715557,15.211016485603626,21.05484619865959,59.425918695822574,57.03698892789981,58.23145381186119,0.6696804547269999,0.2612961068954305,0.4654882808112152,61.92098805326134,False,True
0.58,0.11,0.15,27.07758444937913,15.632352904115587,21.354968676747358,59.8371252717988,58.29003277560791,59.063579023703355,0.6650932470324309,0.22848245608255058,0.44678785155749073,62.80558139428463,False,True
0.58,0.11,0.17,26.92775153338124,15.226215362797591,21.076983448089415,59.578484250695126,59.0488456788673,59.31366496478121,0.6679822033093081,0.20826465835732078,0.43812343083331445,62.94720075448431,False,True
0.58,0.11,0.19,27.056437308955907,15.507479968359295,21.2819586386576,59.654448066800704,57.879849450393706,58.7671487585972,0.6671350042562668,0.23930249337502696,0.4532187488156469,62.501996261820516,False,True
0.58,0.11,0.21,26.898419639131042,15.539784001787782,21.21910182045941,59.490551709636584,57.85446871895841,58.672510214297496,0.6689615375159832,0.239969489787772,0.4544655136518776,62.39161591843785,False,True
0.58,0.11,0.23,26.55651913034815,14.703183421715199,20.629851276031673,59.67535964371611,56.394039039196045,58.034699341456076,0.6669015949393782,0.27785633064973125,0.4723789627945547,61.59234604497858,False,True
0.58,0.11,0.25,26.742390052509812,14.873776660278084,20.808083356393947,59.330061995199,57.30564444664705,58.31785322092303,0.6707452360632551,0.25432083463969335,0.4625330353514742,61.91888514228725,False,True
0.58,0.11,0.27,26.75289607446878,14.664098059777944,20.70849706712336,59.67106570534694,57.07172833437183,58.37139701985939,0.6669495293824045,0.26039599101342215,0.4636727601979133,61.93594950292687,False,True
0.58,0.11,0.29,26.71551661928127,14.516501960231453,20.616009289756363,60.03029102607683,57.762670788633265,58.89648090735505,0.6629274700102346,0.24237946356509932,0.45265346678766694,62.400443125876585,False,True
0.58,0.11,0.31,26.759367511621097,14.391627137337327,20.575497324479212,59.811241314749545,57.64769461622582,58.729467965487686,0.665382927963533,0.2453925380647043,0.45538773301411867,62.22942630025521,False,True
0.58,0.11,0.33,26.34901018282063,14.030524536479394,20.189767359650013,59.51315331252418,58.598519495914466,59.05583640421932,0.6687099539978537,0.22029468560002807,0.4445023197989409,62.41168576027013,False,True
0.58,0.11,0.35,26.306527645213773,13.376371522233468,19.84144958372362,59.47636875635611,58.63287482055577,59.05462178845594,0.6691193623550624,0.21938016141671435,0.4442497618858884,62.29872772505889,False,True
0.58,0.13,0.11,27.00450629298764,16.39782524021507,21.701165766601356,59.575029339893284,56.620227033672165,58.09762818678273,0.6680207091097536,0.2720518946630146,0.4700363018863841,62.018344032706665,False,True
0.58,0.13,0.13,27.0539218756602,15.524018753890076,21.28897031477514,59.787261154413976,57.319807189314055,58.553534171864015,0.6656511906611134,0.25395220892194204,0.45980169979152774,62.30358433572682,False,True
0.58,0.13,0.15,26.851944234584934,15.448838600361222,21.150391417473077,59.72679324028564,58.707767032172576,59.21728013622911,0.6663271591176414,0.21738470465224502,0.4418559318849432,62.88104105249016,False,True
0.58,0.13,0.17,26.806858391897038,15.45255475819632,21.12970657504668,59.686954018056305,56.76884870343649,58.2279013607464,0.6667721464431952,0.26822531676548744,0.4674987316043413,61.943143259156486,False,True
0.58,0.13,0.19,26.46619568320641,15.077556445076565,20.771876064141487,59.30369316898706,57.187744217787476,58.24571869338727,0.6710378409255247,0.2573859883949181,0.4642119146602214,61.83877894439101,False,True
0.58,0.13,0.21,26.625181867219688,14.49393493163654,20.559558399428113,59.66694119161866,58.00976059774724,58.83835089468295,0.6669955692426747,0.23588389464427661,0.45143973194347564,62.326936212085165,False,True
0.58,0.13,0.23,27.03374990576219,14.960213926769,20.996981916265597,59.89064649056838,57.829384251703644,58.860015371136015,0.6644938655001809,0.2406284130408033,0.4525611392704921,62.492996880309335,False,True
0.58,0.13,0.25,26.448711279835585,14.320416952810369,20.384564116322977,59.51002956474415,58.477528687060456,58.99377912590231,0.6687447308271401,0.22351114180113274,0.44612793631413644,62.41631541326538,False,True
0.58,0.13,0.27,26.403843095743596,14.334234718762296,20.369038907252946,59.49797247795502,58.39798627572546,58.94797937684024,0.6688789458143467,0.2256220993367749,0.4472505225755608,62.367956665402836,False,True
0.58,0.13,0.29,26.465273097741935,14.1774695766344,20.321371337188168,59.47454641412864,57.358139082396,58.41634274826232,0.6691396382573509,0.2529540553116465,0.4610468467844987,61.85003826277194,False,True
0.58,0.13,0.31,26.469024151541348,13.889424449528704,20.179224300535026,59.77430947796961,58.517187867972744,59.14574867297118,0.6657960345114935,0.22245756257928284,0.44412679854538817,62.49336508348367,False,True
0.58,0.13,0.33,26.254967679324604,13.909696660742771,20.082332170033688,59.65210210566318,56.01410377018681,57.83310293792499,0.6671611841310229,0.28755393787375416,0.4773575610023885,61.220648974150855,False,True
